                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 3.2572,                 3.9494,                 4.0655,                0.00489,                 0.6039,                0.00928,                0.00324,                 2.6515,                 4.0781,                 3.9243,               0.058594,              0.0045941,              0.0045941
                     48,                 2.8863,                 3.7573,                  3.911,                0.00489,                 0.6039,                0.00928,                0.00324,                 2.6515,                 4.0781,                 3.9243,               0.057694,              0.0046937,              0.0046937
                     49,                 2.9345,                 3.7559,                 3.9072,                0.00518,                0.69481,                0.01191,                0.00545,                  2.633,                 4.0723,                 3.9157,               0.056793,              0.0047932,              0.0047932
                     50,                 2.9082,                   3.81,                 3.9103,                0.00518,                0.69481,                0.01191,                0.00545,                  2.633,                 4.0723,                 3.9157,               0.055893,              0.0048928,              0.0048928
                     51,                 3.0551,                 3.8847,                 3.9579,                 0.0051,                0.64935,                 0.0116,                0.00399,                 2.6141,                 4.0704,                 3.9057,               0.054992,              0.0049924,              0.0049924
                     52,                 2.9213,                 3.7856,                 3.9348,                 0.0051,                0.64935,                 0.0116,                0.00399,                 2.6141,                 4.0704,                 3.9057,               0.054092,              0.0050919,              0.0050919
                     53,                  2.725,                 3.7686,                 3.8988,                 0.0051,                0.64935,                 0.0116,                0.00399,                 2.6141,                 4.0704,                 3.9057,               0.053191,              0.0051914,              0.0051914
                     54,                 2.7483,                 3.8045,                 3.9243,                0.00521,                0.69481,                0.01083,                0.00408,                 2.5937,                 4.0642,                 3.8939,               0.052291,              0.0052909,              0.0052909
                     55,                 2.7195,                 3.7887,                 3.8704,                0.00521,                0.69481,                0.01083,                0.00408,                 2.5937,                 4.0642,                 3.8939,                0.05139,              0.0053904,              0.0053904
                     56,                 3.2853,                 3.7756,                 3.9533,                0.00521,                0.69481,                0.01083,                0.00408,                 2.5937,                 4.0642,                 3.8939,                0.05049,              0.0054898,              0.0054898
                     57,                 2.8225,                  3.759,                  3.955,                0.00531,                0.69481,                0.01023,                 0.0041,                 2.5741,                 4.1215,                 3.8823,               0.049589,              0.0055893,              0.0055893
                     58,                 2.8622,                 3.8184,                 3.9028,                0.00531,                0.69481,                0.01023,                 0.0041,                 2.5741,                 4.1215,                 3.8823,               0.048689,              0.0056887,              0.0056887
                     59,                 2.9067,                 3.7481,                 3.9101,                0.00531,                0.69481,                0.01023,                 0.0041,                 2.5741,                 4.1215,                 3.8823,               0.047788,              0.0057881,              0.0057881
                     60,                  3.087,                 3.8217,                  3.875,                0.00526,                0.69481,                0.01973,                0.00597,                 2.5526,                 4.1197,                 3.8732,               0.046887,              0.0058875,              0.0058875
                     61,                 3.1237,                 3.6543,                 3.8579,                0.00526,                0.69481,                0.01973,                0.00597,                 2.5526,                 4.1197,                 3.8732,               0.045987,              0.0059868,              0.0059868
                     62,                 2.9395,                 3.7084,                 3.9241,                0.00526,                0.69481,                0.01973,                0.00597,                 2.5526,                 4.1197,                 3.8732,               0.045086,              0.0060861,              0.0060861
                     63,                 2.7276,                 3.6994,                 3.9194,                0.00474,                 0.6039,                0.00892,                0.00374,                 2.5305,                  4.114,                 3.8634,               0.044185,              0.0061855,              0.0061855
                     64,                 2.6721,                 3.6745,                 3.8349,                0.00474,                 0.6039,                0.00892,                0.00374,                 2.5305,                  4.114,                 3.8634,               0.043285,              0.0062847,              0.0062847
                     65,                 2.8729,                 3.7452,                  3.898,                0.00474,                 0.6039,                0.00892,                0.00374,                 2.5305,                  4.114,                 3.8634,               0.042384,               0.006384,               0.006384
                     66,                 2.7555,                 3.7669,                  3.891,                 0.0053,                0.69481,                0.03516,                0.00705,                 2.5226,                 4.1107,                  3.855,               0.041483,              0.0064832,              0.0064832
                     67,                 3.0013,                 3.6482,                 3.8881,                 0.0053,                0.69481,                0.03516,                0.00705,                 2.5226,                 4.1107,                  3.855,               0.040582,              0.0065825,              0.0065825
